timestamp,setup_overhead,new_order_overhead,payment_overhead,order_status_overhead,stock_level_overhead,delivery_overhead
2026-01-20 08:26:18,0.7,,,,,
2026-01-20 08:26:50,,,,,,
2026-01-20 08:27:23,1.33,,,,,
2026-01-20 08:27:49,,,,,,
2026-01-20 08:28:45,1.04,,,,,
2026-01-20 08:29:00,,,,,,
2026-01-20 08:30:01,1.56,,,,,
2026-01-20 08:30:18,,,,,,
2026-01-20 08:31:02,3.72,,,,,
2026-01-20 08:31:21,,,,,,
2026-01-20 08:32:19,1.16,,,,,
2026-01-20 08:32:39,,,,,,
2026-01-20 08:33:08,1.15,,,,,
2026-01-20 08:33:49,,,,,,
2026-01-20 08:34:46,3.76,,,,,
2026-01-20 08:35:02,,,,,,
2026-01-20 08:35:47,1.53,,,,,
2026-01-20 08:36:16,,,,,,
2026-01-20 08:36:45,0.59,,,,,
2026-01-20 08:37:13,,,,,,
2026-01-20 08:37:47,1.55,,,,,
2026-01-20 08:38:17,,,,,,
2026-01-20 08:38:43,1.32,,,,,
2026-01-20 08:39:12,,,,,,
2026-01-20 08:39:39,0.26,,,,,
2026-01-20 08:40:06,,,,,,
2026-01-20 08:40:46,1.14,,,,,
